Model,Accuracy,F1 Macro
Bayesian Opt. RF,0.43357329842931935,0.43104885826041933
Manual Fine-Tune RF,0.42670157068062825,0.42424383881646976
Random Search RF,0.4237565445026178,0.4225972143506869
Grid Search RF,0.424738219895288,0.42196700006242543
Optuna RF,0.424738219895288,0.42136241816641595
